"title","date","time","price","venue","url","description"
"Opera de Monte-Carlo","01 Dec 2025","20:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/opera-de-monte-carlo-367","Buy Tickets for Opera de Monte-Carlo"
"La Monnaie Concert Tickets","","","0 €","La Monnaie","https://www.europaticket.com/en/events/classical-concerts-3/la-monnaie-concert-tickets-145","Check your schedule and book your tickets for an incredible concert at La Monnaie. Secure your seats now."
"Concerts in Stockholm","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-stockholm-365","Buy tickets in Concert in Stockholm."
"The Bartered Bride","25 Nov 2025","","€ 6","Venue","https://www.europaticket.com/en/event/the-bartered-bride--8194-26104","or contact us by phone."
"Mozart Week","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/mozart-week-239","Buy Tickets for Mozart Week in Salzburg. Find details about performers, programme, and prices."
"The Four Seasons by Vivaldi, A Little Night Music by Mozart","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/the-four-seasons-by-vivaldi-a-little-night-music-by-mozart-13616","Online ticket reservation for The 4 Seasons of Vivaldi and Eine kleine Nachtmusik of Mozart. Find details on performers, program and prices. Buy your ticket now."
"Concerts in Paris","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-paris-105","Check your schedule and come to see your favourite artists perform live in Paris. Secure your tickets now."
"Hungarian GastroCellar","25 Nov 2025","23:00","0 €","Venue","https://www.europaticket.com/en/event/hungarian-gastrocellar-27025","or contact us by phone for more information about performers, program details, and ticket prices."
"Rome Wine Tasting and Opera","25 Nov 2025","19:30","0 €","Palazzo Taverna","https://www.europaticket.com/en/event/rome-wine-tasting-and-opera-1106-22374",", where you can find more information about performers, program, and ticket prices."
"Hungarian Wine and Food Tasting Experience","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/hungarian-wine-and-food-tasting-experience-17341","or contact us by phone."
"The Four Seasons By Antonio Vivaldi","25 Nov 2025","8:30","0 €","San Vidal church","https://www.europaticket.com/en/event/the-four-seasons-by-antonio-vivaldi-8014-21599","Buy Tickets for The Four Seasons By Antonio Vivaldi performed by the renowned Interpreti Veneziani at San Vidal church, Venice, Italy. More info online and by phone."
"Bel Canto Opera with Dinner in Paris","25 Nov 2025","20:00","0 €","Venue","https://www.europaticket.com/en/event/bel-canto-opera-with-dinner-in-paris-16569","Buy Official Tickets for Bel Canto Opera with Dinner in Paris at the Bel Canto Restaurant. Find details about performers, programme, and prices."
"St.Stephenâs Basilica, Unique Grand Organ Concert and Tickets","25 Nov 2025","9:45","0 €","Venue","https://www.europaticket.com/en/event/st-stephens-basilica-unique-grand-organ-concert-and-tickets-25686","Buy Tickets for St.Stephen’s Basilica, Unique Grand Organ Concert and Tickets, Budapest. Visit our website or contact us by phone for more information about performers, program details, and ticket prices."
"Teatro alla Scala","19 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/teatro-alla-scala-210","Teatro alla Scala is a must when you visit Milan. Choose from a wide variety of classic concerts and book your tickets now."
"Opera Concerto, the most famous lyrical arias","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/opera-concerto-the-most-famous-lyrical-arias-18856","Buy Tickets for Opera Concerto the most famous lyrical arias. Find details about performers, programme, and prices."
"Ball","31 Dec 2025","19:30","0 €","","https://www.europaticket.com/en/events/ball-13","Check the schedule, select the date and book tickets for Ball. Tickets in advance. Details, programme and photos."
"Royal Danish Playhouse","","","0 €","Royal Danish Playhouse","https://www.europaticket.com/en/events/opera-and-ballet-1/royal-danish-playhouse-268","Buy Tickets for events at Royal Danish Playhouse."
"ZÃ¼rich Opera House","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/zÃ¼rich-opera-house-4410-320","Buy tickets for concerts held at the ZÃ¼rich Opera House and enjoy your visit in ZÃ¼rich even more. Secure your tickets now."
"Salle Gaveau","10 Oct 2025","20:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/salle-gaveau-337","Check your schedule and book your tickets for the Salle Gaveau."
"Depeche Mode Tour","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/depeche-mode-tour-405","Buy Tickets for the Depeche Mode Tour in Europe. Secure your ticket for concerts in Bratislava, Muenchen, Paris, Berlin, Roma, Milan, Budapest."
"MOL Campus Skydeck","25 Nov 2025","19:00","0 €","Venue","https://www.europaticket.com/en/event/mol-campus-skydeck-27158","or contact us by phone."
"La Monnaie Opera Tickets","","","0 €","La Monnaie","https://www.europaticket.com/en/events/opera-and-ballet-1/la-monnaie-opera-tickets-113","Check your schedule and book your tickets for opera performances at La Monnaie."
"Palace Garnier","08 Oct 2025","19:30","0 €","Palace Garnier","https://www.europaticket.com/en/events/opera-and-ballet-1/palace-garnier-135","Check your schedule and book your tickets for opera performances at Palace Garnier."
"SÃ£o Carlos National Theater Opera Tickets","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/sÃ£o-carlos-national-theater-opera-tickets-114","Check your schedule and book your tickets for opera performances at the SÃ£o Carlos National Theater."
"Lutheran Church of Trieste","","","0 €","Evangelical Lutheran Church","https://www.europaticket.com/en/events/classical-concerts-3/lutheran-church-of-trieste-338","Buy Tickets for concerts at Evangelical Lutheran Church. Find details about performers, programme, and prices."
"Lirica Sala Girelli Verona","10 Oct 2025","18:50","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/lirica-sala-girelli-verona-513","Buy Official Tickets for events at the Lirica Sala Girelli Verona."
"Drinks and Piano Show","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/drinks-and-piano-show-22356","or contact us by phone."
"Bavarian State Opera","31 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/bavarian-state-opera-323","Buy Tickets for events at Bavarian State Opera"
"Manon Lescaut","25 Nov 2025","21:20","0 €","Venue","https://www.europaticket.com/en/event/manon-lescaut-741-22159","Buy official tickets for Manon Lescaut - Opera at the State Opera in Prague. More info about performers, programme, and prices online and by phone."
"Opera in Roma","08 Oct 2025","19:30","0 €","Opera in Rome","https://www.europaticket.com/en/events/opera-and-ballet-1/opera-in-roma-256","Buy Tickets for avents at Opera in Rome."
"My Fair Lady, Musical","25 Nov 2025","21:30","0 €","Vienna Volksoper","https://www.europaticket.com/en/event/my-fair-lady-musical-3505-11014","or contact us by phone for more information about performers, program details, and ticket prices."
"Make A Move, Tour 2025","25 Nov 2025","","0 €","Kozerthaus","https://www.europaticket.com/en/event/make-a-move-tour-2025-26508","or contact us by phone."
"Municipal House Tickets","03 Nov 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/municipal-house-tickets-173","Check your schedule and book your tickets for an incredible Classic Concert at the Municipal House, Prague. Secure your seats now."
"Opera Florence","12 Oct 2025","17:00","0 €","Maggio Musicale Fiorentino","https://www.europaticket.com/en/events/opera-and-ballet-1/opera-florence-194","Check schedule and book your tickets for the Opera, Ballet or Classical Concerts Performances at Maggio Musicale Fiorentino."
"Margaret Island","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/margaret-island-266","Buy tickets for representations held at the Margaret Island and enjoy your visit in Budapest even more. Secure your tickets now."
"Tablao Flamenco Cordobes","25 Nov 2025","21:00","0 €","Venue","https://www.europaticket.com/en/event/tablao-flamenco-cordobes-7992-14209","or contact us by phone."
"Salzburg Fortress","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/salzburg-fortress-234","Buy tickets for representations held at the Salzburg Fortress and enjoy your visit in Salzburg even more. Secure your tickets now."
"Tablao Alvarez Quintero Flamenco Show","25 Nov 2025","20:30","0 €","Venue","https://www.europaticket.com/en/event/tablao-alvarez-quintero-flamenco-show-25194","or contact us by phone for more information about performers, program details, and ticket prices."
"Top events","","","0 €","Most Famous Theaters in Europe: â Fast delivery","https://www.europaticket.com/en/top-events","Top events >> â¬ Opera, Ballet & Classical Concerts at Most Famous Theaters in Europe: â Fast delivery. â Secure Order. â Official Tickets. âº Book your E-tickets now! â¬"
"Interpreti Veneziani Concerts","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/interpreti-veneziani-concerts-1859-205","Check the schedule, select the date and book tickets for Interpreti Veneziani Concerts. Tickets in advance. Details, programme and photos."
"Palais 12","","","0 €","Palais 12","https://www.europaticket.com/en/events/pop-rock-concerts-10/palais-12-355","Buy Tickets for events at Palais 12."
"The Barber of Seville","25 Nov 2025","","€ 6","Venue","https://www.europaticket.com/en/event/the-barber-of-seville-8570-11294","or contact us by phone."
"Christian Blackshaw","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/christian-blackshaw-3835-27570","or contact us by phone for more information on prices, program, and cast."
"CasaNova Vienna","","","0 €","CasaNova","https://www.europaticket.com/en/events/cabaret-tickets-5/casanova-vienna-189","Check your schedule and come to see your favourite artists perform live at CasaNova, Vienna. Secure your tickets now."
"Teatro de la Maestranza","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/teatro-de-la-maestranza-841-477","or contact us by phone."
"60 Minutes Sightseeing Cruise","25 Nov 2025","17:30","0 €","Venue","https://www.europaticket.com/en/event/60-minuts-sightseeing-cruise-21904","or contact us by phone for more information about performers, program details, and ticket prices."
"Galleon Dinner Cruise in Venice","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/galleon-dinner-cruise-in-venice-2831-7888","Online tickets reservation for Galleon Dinner Cruise in Venice, Italy. Find details about interpreters, programme, and prices. Buy your ticket now."
"Stefaniensaal","","","0 €","Stefaniensaal","https://www.europaticket.com/en/events/classical-concerts-3/stefaniensaal-342","Buy Tickets for events at Stefaniensaal."
"Basket","","","0 €","","https://www.europaticket.com/en/events/sport-4/basket-ball-305","Basket-ball"
"Crazy Experience and Ginger","25 Nov 2025","6:30pm","0 €","Crazy Horse Paris","https://www.europaticket.com/en/event/crazy-experience-and-ginger-6313-21928","Buy Official Tickets for Crazy Experience & Ginger Restaurant at Crazy Horse Paris, France. More info about performers, programme, and prices online and by phone."
"Jazz Festival Vienna","","","0 €","","https://www.europaticket.com/en/events/jazz-6957-12/jazz-festival-vienna-116","Check the schedule, select the date and book tickets for Jazz Festival Vienna. Tickets in advance. Details, programme and photos."
"Jazzorchester Vorarlberg","25 Nov 2025","","0 €","Porgy & Bess - Jazz & Music Club Vienna","https://www.europaticket.com/en/event/jazzorchester-vorarlberg-26854","or contact us by phone for more information about performers, program details, and ticket prices."
"Vienna Residence Orchestra","08 Oct 2025","18:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/vienna-residence-orchestra-492","Check your schedule and book your tickets for the Vienna Residence Orchestra."
"Tosca, On the Other Side Carnival","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/tosca-on-the-other-side-carnival-25428","or contact us by phone."
"Classic Concerts in Rome","08 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/classic-concerts-in-rome-104","Check your schedule and book your tickets for an incredible Classic Concert in Rome. Secure your seats now."
"Dinner and Show La Nouvelle Eve Cabaret","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/dinner-and-show-la-nouvelle-eve-cabaret--27057","or contact us by phone for more information about performers, program details, and ticket prices."
"Palazzo dello Sport","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/palazzo-dello-sport-389","Check your schedule and come to see your favourite artists perform live on the Palazzo dello Sport stage. Secure your tickets now."
"St Charles Church Concerts Vienna","11 Oct 2025","20:15","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/st-charles-church-concerts-vienna-487","or contact us by phone."
"Organ Concert in the St. Stephenâs Basilica","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/organ-concert-in-the-st-stephens-basilica-19301","or contact us by phone."
"Party Cruises","25 Nov 2025","20:00","0 €","Venue","https://www.europaticket.com/en/event/party-cruises-3749-6325","or contact us by phone."
"Dinner and Show Moulin Rouge Cabaret Paris","25 Nov 2025","6:45","0 €","Reservation for Moulin Rouge Paris Dinner at 7pm & Show at 9pm","https://www.europaticket.com/en/event/dinner-and-show-moulin-rouge-cabaret-paris-6369-762","Seat Reservation for Moulin Rouge Paris Dinner at 7pm & Show at 9pm. Reserve your seats for a very special Package at the Moulin Rouge Paris."
"Capuchin Church Concerts Vienna","09 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/capuchin-church-concerts-vienna-488","Check your schedule and book your tickets for the Capuchin Church."
"Vienna Residence Orchestra at the Vienna Konzerthaus","25 Nov 2025","20:30","0 €","Venue","https://www.europaticket.com/en/event/vienna-residence-orchestra-at-the-vienna-konzerthaus-24722","or contact us by phone for more information about performers, program details, and ticket prices."
"Panoramabahn SchÃ¶nbrunn","25 Nov 2025","17:00","0 €","Venue","https://www.europaticket.com/en/event/panoramabahn-schÃ¶nbrunn-26976","or contact us by phone for more information about performers, program details, and ticket prices."
"The Phantom of the Opera","25 Nov 2025","19:30","0 €","Raimund Theater in Vienna","https://www.europaticket.com/en/event/the-phantom-of-the-opera-1148-8254","The Phantom of the Opera - The Musical at Raimund Theater in Vienna, Austria. Find details about performers, programme, and prices. Book official tickets here and now."
"I Musici Veneziani","08 Oct 2025","20:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/i-musici-veneziani-193","Check the schedule, select the date and book tickets for I Musici Veneziani in Venice. Tickets in advance. Details, programme and photos."
"Concerts in Berlin","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-berlin-260","Buy Tickets for Concerts in Berlin."
"1 Hour Sightseeing Cruise with Audio Guide","25 Nov 2025","18:30","0 €","Venue","https://www.europaticket.com/en/event/1-hour-sightseeing-cruise-with-audio-guide-3926-20244","Buy Official Tickets for 1 hour sightseeing cruise with Audio Guide, Budapest Cruise, Hungary. More info about performers, programme, and prices online and by phone."
"Vienna Mozart Concert at the Musikverein","25 Nov 2025","20:15","0 €","Venue","https://www.europaticket.com/en/event/vienna-mozart-concert-at-the-musikverein-8190-11251","or contact us by phone for more info about prices, programme, and cast."
"Die Fledermaus","25 Nov 2025","","0 €","Theater an der Wien","https://www.europaticket.com/en/event/die-fledermaus-8600-26584","or contact us by phone for more information about performers, program details, and ticket prices."
"Concerts in Milano","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-milano-437","Buy tickets for pop/rock concerts in Milano. More info online and by phone."
"Oktoberfest","","","0 €","","https://www.europaticket.com/en/events/other-events-16/oktoberfest-511","Buy Official Tickets for Oktoberfest in Munich."
"The Crazy Horse Cabaret Packages","25 Nov 2025","22:30","0 €","Venue","https://www.europaticket.com/en/event/the-crazy-horse-cabaret-packages-693","Buy official Tickets for the most avant-garde cabaret in Paris reveals its charms in a show entitled DÃ©sirs. The showâs artistic direction is signed by renowned photographer Ali Mahdavi. See dates and buy tickets for the"
"Verti Music Hall","","","0 €","Verti Music Hall","https://www.europaticket.com/en/events/opera-and-ballet-1/verti-music-hall-308","Buy Tickets for events at Verti Music Hall. Find details about performers, programme, and prices."
"Strauss Dinner Show","25 Nov 2025","22:00","0 €","Venue","https://www.europaticket.com/en/event/strauss-dinner-show-22694","or contact us by phone."
"The Blue Danube Waltz","25 Nov 2025","16:40","0 €","Venue","https://www.europaticket.com/en/event/the-blue-danube-waltz-22686","or contact us by phone."
"Rock Concerts Zucchero","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/rock-concerts-zucchero-275","Buy Tickets for Zucchero Concerts in Europe."
"Vienna Royal Orchestra","08 Oct 2025","20:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/vienna-royal-orchestra-491","Check your schedule and book your tickets for the Vienna Royal Orchestra."
"Ariodante","25 Nov 2025","22:55","0 €","Palais Garnier","https://www.europaticket.com/en/event/ariodante-716-402","Buy official tickets for Ariodante - Paris National Opera 2025/2026 at Palais Garnier, Paris, France. More info about performers, programme, and prices online and by phone."
"Estates Theatre","18 Oct 2025","18:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/estates-theatre-100","Check your schedule and book your tickets for the Estates Theatre."
"Museo del Baile Flamenco","25 Nov 2025","17:00","0 €","Venue","https://www.europaticket.com/en/event/museo-del-baile-flamenco-25145","or contact us by phone."
"La Nouvelle Eve Paris","09 Oct 2025","20:15","0 €","","https://www.europaticket.com/en/events/cabaret-tickets-5/la-nouvelle-eve-paris-507","Check your schedule and book your tickets for the La Nouvelle Eve Paris Cabaret, France."
"City Cruise in Vienna on Board of the MS Blue Danube","25 Nov 2025","12:15","0 €","Venue","https://www.europaticket.com/en/event/city-cruise-in-vienna-on-board-of-the-ms-blue-danube-2903-18896","Buy Official Tickets for City Cruise in Vienna on board the MS Blue Danube. More info about and prices online and by phone."
"Roma Opera Omnia","08 Oct 2025","16:30","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/roma-opera-omnia-3627-231","Book your tickets for an incredible performance at Rome Opera Omnia"
"Hamburg State Opera","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/hamburg-state-opera-384","Check your schedule and book your tickets for the Hamburg State Opera."
"Rooftop Bar Opera Show:, The Great Beauty in Rome","25 Nov 2025","5:15pm","0 €","Palazzo Pamphilj","https://www.europaticket.com/en/event/rooftop-bar-opera-show-the-great-beauty-in-rome-3929-12740",", where you can find more information about performers, program, and ticket prices."
"SchÃ¶nbrunn Palace Tour and Concert","25 Nov 2025","6:45","0 €","Venue","https://www.europaticket.com/en/event/schÃ¶nbrunn-palace-tour-and-concert-5982-11297","Have an evening of royal pleasures just like the royalty in times long past: start by walking through the sumptuous palace and enjoy a grand finale at the Schoenbrunn Palace Orangery, embarking on a musical journey with the Schoenbrunn Palace Orchestra"
"SchÃ¶nbrunn Palace Guided Tour","25 Nov 2025","09:30","0 €","Venue","https://www.europaticket.com/en/event/schÃ¶nbrunn-palace-guided-tour-26975","or contact us by phone for more information about performers, program details, and ticket prices."
"Hungarian State Opera Budapest Tickets","08 Oct 2025","18:30","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/hungarian-state-opera-budapest-tickets-215","Check your schedule and book your tickets for representations held at the Hungarian State Opera in Budapest. Buy tickets online."
"Budapest Operetta Theater","10 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/budapest-operetta-theater-241","Budapest Operetta Theater Programme and Tickets."
"Palau de la MÃºsica Catalana","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/palau-de-la-musica-catalana-450","Buy Official Tickets for Palau de la MÃºsica Catalana in Barcelona. Check your schedule and secure your seats now."
"Vienna State Opera","","","0 €","Vienna State Opera","https://www.europaticket.com/en/events/classical-concerts-3/vienna-state-opera-99","Check your schedule and book your tickets for an incredible concert at Vienna State Opera. Secure your seats now."
"Faust","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/faust-689-27300","or contact us by phone for more information on pricing, program, and performers."
"SchÃ¶nbrunn Palace Tour, Dinner and Concert","25 Nov 2025","5:15","0 €","Venue","https://www.europaticket.com/en/event/schÃ¶nbrunn-palace-tour-dinner-and-concert-2243-11288","Buy Tickets for SchÃ¶nbrunn Palace Vienna Dinner and Concert, Vienna, Austria. This package offers a unique combination of two delightful destinations: gourmet cuisine and world-famous music. More info about performers, programme, and prices online and by phone."
"Centre For Fine Arts","","","0 €","Centre For Fine Arts","https://www.europaticket.com/en/events/classical-concerts-3/centre-for-fine-arts-333","Buy Tickets for events at Centre For Fine Arts, Brussels."
"Barclays Arena","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/barclays-arena-402","Check your schedule and come to see your favourite artists perform live on the Barclays Arena stage in Hamburg. Secure your tickets now."
"Church of St. Eustache Paris Concerts","19 Dec 2025","20:45","0 €","Church of St","https://www.europaticket.com/en/events/classical-concerts-3/church-of-st--eustache-paris-concerts-509","Buy Official Tickets of Church Concerts in Paris at Church of St. Eustache."
"Minorites Church Concerts Vienna","10 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/minorites-church-concerts-vienna-8293-485","Check your schedule and book your tickets for the Minorites Church Concerts Vienna."
"Mozart Dinner and Concerts","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/mozart-dinner-and-concerts-361","Buy Tickets for Mozart Dinner and Concerts."
"Disneyland 1 Day","25 Nov 2025","21:00","0 €","Venue","https://www.europaticket.com/en/event/disneyland-1-day-7581-16069","Buy Tickets for Disneyland 1 Day dated. Find details about performers, programme, and prices."
"Nymphenburg Classic Ã la Mozart","25 Nov 2025","17:30","0 €","Nymphenburg Palace in Munich","https://www.europaticket.com/en/event/nymphenburg-classic-Ã -la-mozart-25818","or contact us by phone for more information about performers, program details, and ticket prices."
"Hop On Hop Off Vienna Tour","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/hop-on-hop-off-vienna-tour-26970","or contact us by phone for more information about performers, program details, and ticket prices."
"Opera Comique","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/opera-comique-273","Buy tickets for representations held at the Opera Comique and enjoy your visit in Paris even more. Secure your tickets now."
"Amphibious Splash Tour","25 Nov 2025","15:15","0 €","Venue","https://www.europaticket.com/en/event/amphibious-splash-tour-403-24962","or contact us by phone."
"Mozart, Beethoven, Haydn and Schubert in St. Anna","25 Nov 2025","21:10","0 €","Venue","https://www.europaticket.com/en/event/mozart-beethoven-haydn-and-schubert-in-st--anna-10926","Official Tickets for Classical Concerts in St. Anne Church Vienna. The program will delight audiences with works by Mozart, Schubert, Beethoven and other composers associated with the Viennese Classic."
"Hallenstadion","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/hallenstadion-388","Check your schedule and come to see your favourite artists perform live on the Hallenstadion stage. Secure your tickets now."
"OpÃ©ra Bastille","08 Oct 2025","19:30","0 €","OpÃ©ra Bastille","https://www.europaticket.com/en/events/opera-and-ballet-1/opÃ©ra-bastille-136","Check your schedule and book your tickets for opera performances at OpÃ©ra Bastille."
"Vienna State Opera","08 Oct 2025","19:00","0 €","one of the most important opera houses in the world","https://www.europaticket.com/en/events/opera-and-ballet-1/vienna-state-opera-77-78","Book official tickets for a fabulous performance at one of the most important opera houses in the world, the Vienna State Opera accompanied by the Vienna Philharmonic Orchestra.."
"Teatro Ristori","","","0 €","Teatro Ristori","https://www.europaticket.com/en/events/classical-concerts-3/teatro-ristori-340","Buy tickets for events at Teatro Ristori."
"Danube Dinner Cruise in Vienna","25 Nov 2025","19:00","0 €","Venue","https://www.europaticket.com/en/event/danube-dinner-cruise-in-vienna-4354-26973","or contact us by phone for more information about performers, program details, and ticket prices."
"Vienna Premium Orchestra","25 Nov 2025","20:15","0 €","Venue","https://www.europaticket.com/en/event/vienna-premium-orchestra-26685","or contact us by phone for more information on prices, program, and cast."
"Classical Concerts in Venice","08 Oct 2025","21:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/classical-concerts-in-venice-172","Check your schedule and book your tickets for an incredible Classic Concert in Venice. Secure your seats now."
"Deutsche Oper Berlin","10 Oct 2025","19:30","0 €","Deutsche Oper Berlin","https://www.europaticket.com/en/events/opera-and-ballet-1/deutsche-oper-berlin-96","Check your schedule and purchase tickets to see the greatest artists perform live on stage at Deutsche Oper Berlin. Buy tickets now."
"Opera and Ballet","08 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1","Opera schedules and tickets for the most renowned opera theaters in Europe."
"Culinary Jazz Dinner","","","0 €","","https://www.europaticket.com/en/events/jazz-6957-12/culinary-jazz-dinner-4846-385","Check the schedule, select the date and book tickets for Culinary Jazz Dinner, Prague. Tickets in advance. Details, programme and photos."
"Formula 1","","","0 €","","https://www.europaticket.com/en/events/sport-4/formula-1-81","Formula 1 tickets. Book your tickets fast for the best possible view at the lowest price."
"Mozart House Vienna Concerts by Mozart Ensemble","25 Nov 2025","21:30","0 €","Venue","https://www.europaticket.com/en/event/mozart-house-vienna-concerts-by-mozart-ensemble-11230","Ticket for the Mozart Ensemble Wien at The original Sala Terrena in the heart of Vienna is an impressive place to be enchanted by Viennese classic, performed by our virtuosic quartet in one of the oldest concert halls of Vienna, where even Mozart himself used to perform."
"Boat trip to Hellbrunn Tour 2","25 Nov 2025","","0 €","trip to Hellbrunn Tour 2 in Salzburg","https://www.europaticket.com/en/event/boat-trip-to-hellbrunn-tour-2-24960","or contact us by phone."
"Burlesque Spectacular, Dinner Show","25 Nov 2025","6:30","0 €","Mirage","https://www.europaticket.com/en/event/burlesque-spectacular-dinner-show-27125","or contact us by phone."
"Konzerthaus Vienna","08 Oct 2025","12:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/konzerthaus-vienna-108","Check your schedule and book your tickets for an incredible concert at the Konzerthaus in Vienna. Secure your seats now."
"Ziggo Dome","17 Oct 2025","20:00","0 €","events at Ziggo Dome","https://www.europaticket.com/en/events/pop-rock-concerts-10/ziggo-dome-354","Buy Tickets at events at Ziggo Dome."
