"title","date","time","price","venue","url","description"
"National Football Stadium Bratislava","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/national-football-stadium-bratislava-404","Check your schedule and come to see your favourite artists perform live on the National Football Stadium stage in Bratislava. Secure your tickets now."
"Other Events","08 Oct 2025","9:00","0 €","","https://www.europaticket.com/en/events/other-events-16","Check the schedule, select the date and book tickets for events. Tickets in advance. Details, programme and photos"
"Rock Concerts Zucchero","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/rock-concerts-zucchero-275","Buy Tickets for Zucchero Concerts in Europe."
"Church of the Madeleine Paris Concerts","09 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/church-of-the-madeleine-paris-concerts-499","Check your schedule and book your tickets for the Church of the Madeleine, Paris."
"Crazy Experience and Ginger","25 Nov 2025","6:30pm","0 €","Crazy Horse Paris","https://www.europaticket.com/en/event/crazy-experience-and-ginger-6313-21928","Buy Official Tickets for Crazy Experience & Ginger Restaurant at Crazy Horse Paris, France. More info about performers, programme, and prices online and by phone."
"Advent in Salzburg","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/advent-in-salzburg-233","Buy tickets for representations held at the St. Peter, St. AndrÃ¤ Church, Great University Hall, and enjoy your visit in Salzburg even more. Secure your tickets now."
"Vienna State Opera","","","0 €","Vienna State Opera","https://www.europaticket.com/en/events/classical-concerts-3/vienna-state-opera-99","Check your schedule and book your tickets for an incredible concert at Vienna State Opera. Secure your seats now."
"Opera in Roma","08 Oct 2025","19:30","0 €","Opera in Rome","https://www.europaticket.com/en/events/opera-and-ballet-1/opera-in-roma-256","Buy Tickets for avents at Opera in Rome."
"Hop On Hop Off Vienna Tour","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/hop-on-hop-off-vienna-tour-26970","or contact us by phone for more information about performers, program details, and ticket prices."
"St Charles Church Concerts Vienna","11 Oct 2025","20:15","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/st-charles-church-concerts-vienna-487","or contact us by phone."
"Burlesque Spectacular, Dinner Show","25 Nov 2025","6:30","0 €","Mirage","https://www.europaticket.com/en/event/burlesque-spectacular-dinner-show-27125","or contact us by phone."
"Paradis Latin","08 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/cabaret-tickets-5/paradis-latin-249","Tickets Paradis Latin"
"The Bartered Bride","25 Nov 2025","","€ 6","Venue","https://www.europaticket.com/en/event/the-bartered-bride--8194-26104","or contact us by phone."
"Die Fledermaus","25 Nov 2025","","0 €","Theater an der Wien","https://www.europaticket.com/en/event/die-fledermaus-8600-26584","or contact us by phone for more information about performers, program details, and ticket prices."
"Salzburg Fortress","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/salzburg-fortress-234","Buy tickets for representations held at the Salzburg Fortress and enjoy your visit in Salzburg even more. Secure your tickets now."
"Lunch Cruise on the Seine Paris","25 Nov 2025","","€8","Venue","https://www.europaticket.com/en/event/lunch-cruise-on-the-seine-paris-298","A special, fun experience including a gastronomic meal - Buy tickets for all dates, online or phone reservations. Info and Schedule. Book online now!"
"Tennis","","","0 €","","https://www.europaticket.com/en/events/sport-4/tennis-286","ROLEX PARIS MASTERS, Tennis, tickets"
"Amphibious City Splash Tour and Best of Mozart Concert","25 Nov 2025","21:30","0 €","Venue","https://www.europaticket.com/en/event/amphibious-city-splash-tour-and-best-of-mozart-concert-26210","or contact us by phone."
"Igor Levit","25 Nov 2025","","0 €","ThÃ©Ã¢tre des Champs-ElysÃ©es","https://www.europaticket.com/en/event/igor-levit-1911-26093","or contact us by phone."
"Depeche Mode Tour","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/depeche-mode-tour-405","Buy Tickets for the Depeche Mode Tour in Europe. Secure your ticket for concerts in Bratislava, Muenchen, Paris, Berlin, Roma, Milan, Budapest."
"Politeama Rossetti","","","0 €","Politeama Rossetti in Trieste","https://www.europaticket.com/en/events/opera-and-ballet-1/politeama-rossetti-9694-472","or contact us by phone."
"Palau de la MÃºsica","17 Oct 2025","20:00","0 €","Palau de la MÃºsica","https://www.europaticket.com/en/events/classical-concerts-3/palau-de-la-musica-195","Check schedule and book your tickets for the Opera, Ballet or Classical Concerts Performances at Palau de la MÃºsica."
"Verti Music Hall","","","0 €","Verti Music Hall","https://www.europaticket.com/en/events/opera-and-ballet-1/verti-music-hall-308","Buy Tickets for events at Verti Music Hall. Find details about performers, programme, and prices."
"Prague State Opera","09 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/prague-state-opera-101","Check your schedule and book your tickets for the Prague State Opera."
"Vienna City Hall Rathaus","10 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/vienna-city-hall-rathaus-494","Check your schedule and book your tickets for the Vienna City Hall Rathaus."
"Bavaria Klassik","09 Oct 2025","16:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/bavaria-klassik-220","Buy Tickets for Bavaria Klassik Concerts. Find details about performers, programme, and prices."
"Best Of Mozart Fortress Concert","25 Nov 2025","","0 €","Fortress Hohensalzburg","https://www.europaticket.com/en/event/best-of-mozart-fortress-concert-21782","or contact us by phone."
"Olympiahalle","","","0 €","Olympiahalle","https://www.europaticket.com/en/events/pop-rock-concerts-10/olympiahalle-352","Buy Tickets for events at Olympiahalle."
"Palace of Versailles","10 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/palace-of-versailles-132","Check your schedule and book your tickets for opera performances at the Palace of Versailles."
"A38","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/a38-467","or contact us by phone for more information."
"The Michael Jackson Musical","25 Nov 2025","19:30","0 €","Venue","https://www.europaticket.com/en/event/the-michael-jackson-musical-23651","or contact us by phone."
"O2 Arena","09 Oct 2025","20:00","0 €","O2 Arena","https://www.europaticket.com/en/events/pop-rock-concerts-10/o2-arena-336","Buy Tickets for concerts at O2 Arena."
"Opera Concerto, the most famous lyrical arias","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/opera-concerto-the-most-famous-lyrical-arias-18856","Buy Tickets for Opera Concerto the most famous lyrical arias. Find details about performers, programme, and prices."
"OpÃ©ra Bastille","","","0 €","OpÃ©ra Bastille","https://www.europaticket.com/en/events/classical-concerts-3/opÃ©ra-bastille-2684-206","Check your schedule and book your tickets for classic concerts at OpÃ©ra Bastille."
"Chamber Opera Barbarigo Minotto","09 Oct 2025","17:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/chamber-opera-barbarigo-minotto-204","Check the schedule, select the date and book tickets for Chamber Opera Barbarigo Minotto. Tickets in advance. Details, programme and photos."
"Peter Bence, Pianosphere","25 Nov 2025","","0 €","Wiener Stadthalle","https://www.europaticket.com/en/event/peter-bence-pianosphere-27812","or contact us by phone."
"I Musici Veneziani","08 Oct 2025","20:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/i-musici-veneziani-193","Check the schedule, select the date and book tickets for I Musici Veneziani in Venice. Tickets in advance. Details, programme and photos."
"Bolshoi Theatre Moscow","","","0 €","experience with your friends or family","https://www.europaticket.com/en/events/opera-and-ballet-1/bolshoi-theatre-moscow-82","If you are visiting Moscow you should also check out the Bolshoi Theatre for a great experience with your friends or family. Buy tickets now."
"Chamber Opera of Rome","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/chamber-opera-of-rome-376","Chamber Opera of Rome"
"House of Radio and Music","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/house-of-radio-and-music-257","Buy tickets for representations held at the House of Radio and Music and enjoy your visit in Paris even more. Secure your tickets now."
"Byzantine Venice, Walking tour, Basilica and Gondola","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/byzantine-venice-walking-tour-basilica-and-gondola-1527-7660","or contact us by phone."
"The Copenhagen Opera House","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/the-copenhagen-opera-house-269","Buy Tickets for events at The Copenhagen Opera House."
"Morning Exercise","25 Nov 2025","11:00","0 €","Venue","https://www.europaticket.com/en/event/morning-exercise-2117-21964","or contact us by phone for more information about performers, program details, and ticket prices."
"Wine and Dine Cruise with Live Music","25 Nov 2025","19:00","0 €","Venue","https://www.europaticket.com/en/event/wine-and-dine-cruise-with-live-music-5786","or contact us by phone."
"Formula 1","","","0 €","","https://www.europaticket.com/en/events/sport-4/formula-1-81","Formula 1 tickets. Book your tickets fast for the best possible view at the lowest price."
"Barba Negra","23 Jan 2026","19:00","0 €","Barba Negra in Budapest","https://www.europaticket.com/en/events/pop-rock-concerts-10/barba-negra-464","or contact us by phone for more information."
"Verona Arena","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/verona-arena-344","Buy Tickets for all events at the Verona Arena Opera Festival, as well as for all other shows taking place in the amphitheatre.."
"Monolink, Tour","25 Nov 2025","","0 €","Wiener Gasometer","https://www.europaticket.com/en/event/monolink-tour-27752","or contact us by phone."
"Inside Venice Tour","25 Nov 2025","14:45","0 €","Venue","https://www.europaticket.com/en/event/inside-venice-tour-2228-7659","or contact us by phone."
"Unlimited Mulled Wine Cruise","25 Nov 2025","18:30","0 €","Venue","https://www.europaticket.com/en/event/unlimited-mulled-wine-cruise-28163","or contact us by phone for more information on prices, program, and cast."
"Flamenco show at El Patio Sevillano","25 Nov 2025","21:30","0 €","El Patio Sevillano","https://www.europaticket.com/en/event/flamenco-show-at-el-patio-sevillano-5585-18993","Buy Tickets for Flamenco show at El Patio Sevillano. Find details about performers, programme, and prices."
"Stadio Olimpico","12 Jun 2026","21:00","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/stadio-olimpico-410","Check your schedule and come to see your favourite artists perform live on the Stadio Olimpico stage in Rome. Secure your tickets now."
"Mariinsky II Opera Tickets","","","0 €","Mariinsky II","https://www.europaticket.com/en/events/opera-and-ballet-1/mariinsky-ii-opera-tickets-140","Check your schedule and book your tickets for opera performances at Mariinsky II."
"Jess Trio Vienna","25 Nov 2025","","0 €","Kozerthaus","https://www.europaticket.com/en/event/jess-trio-vienna-26507","or contact us by phone."
"The Four Seasons by Vivaldi, A Little Night Music by Mozart","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/the-four-seasons-by-vivaldi-a-little-night-music-by-mozart-13616","Online ticket reservation for The 4 Seasons of Vivaldi and Eine kleine Nachtmusik of Mozart. Find details on performers, program and prices. Buy your ticket now."
"Adriana Mater","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/adriana-mater-6046-23751","or contact us by phone."
"WWE","","","0 €","","https://www.europaticket.com/en/events/sport-4/wwe-328","Buy Tickets for WWE Live in Paris."
"Season Opening 2025/26","25 Nov 2025","","0 €","Berliner Philharmonie","https://www.europaticket.com/en/event/season-opening-2025-26-27100","or contact us by phone for more information on prices, program, and cast."
"Concerts in Berlin","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-berlin-260","Buy Tickets for Concerts in Berlin."
"Hungarian State Opera Budapest Tickets","08 Oct 2025","18:30","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/hungarian-state-opera-budapest-tickets-215","Check your schedule and book your tickets for representations held at the Hungarian State Opera in Budapest. Buy tickets online."
"Opera Concert at Waldesian Church and Dinner at Enoteca Corsi","25 Nov 2025","","0 €","Waldesian Church & Dinner at Enoteca Corsi","https://www.europaticket.com/en/event/opera-concert-at-waldesian-church-and-dinner-at-enoteca-corsi-20115","Buy Tickets for Opera Concert at Waldesian Church & Dinner at Enoteca Corsi. Find details about performers, programme, and prices."
"Walking City Tour of Venice","25 Nov 2025","10:30","0 €","Venue","https://www.europaticket.com/en/event/walking-city-tour-of-venice-5681-7636","Buy Official Tickets for Walking Tour in Venice, Italy. More info about schedule, programme, and prices online and by phone."
"Peugeot Arena Bratislava","17 Mar 2026","19:00","0 €","Peugeot Arena","https://www.europaticket.com/en/events/pop-rock-concerts-10/peugeot-arena-bratislava-517","or contact us by phone."
"Politeama Rossetti","","","0 €","Politeama Rossetti in Trieste","https://www.europaticket.com/en/events/classical-concerts-3/politeama-rossetti-471","or contact us by phone."
"Sale Apollinee","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/sale-apollinee-238","Buy Tickets for event at the Sale Apollinee. Find details about performers, programme, and prices."
"Vienna Jeunesse Orchestra","25 Nov 2025","21:45","0 €","Musikverein","https://www.europaticket.com/en/event/vienna-jeunesse-orchestra-27325","or contact us by phone."
"ZÃ¼rich Opera House","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/zÃ¼rich-opera-house-4410-320","Buy tickets for concerts held at the ZÃ¼rich Opera House and enjoy your visit in ZÃ¼rich even more. Secure your tickets now."
"Classic Concerts in Budapest","31 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/classic-concerts-in-budapest-152","Check your schedule and book your tickets for an incredible Classic Concert in Budapest. Secure your seats now."
"SIMM City Vienna","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/simm-city-vienna-512","Check your schedule and book your tickets for SIMM City Vienna."
"Minorites Church Concerts Vienna","10 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/minorites-church-concerts-vienna-8293-485","Check your schedule and book your tickets for the Minorites Church Concerts Vienna."
"Wiener Stadthalle","08 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/wiener-stadthalle-88","Check your schedule and come to see your favourite artists perform live on the Wiener Stadthalle stage. Secure your tickets now."
"Ashes Of Ares, The Dark Saga Tour","25 Nov 2025","","0 €","Szene Wien","https://www.europaticket.com/en/event/ashes-of-ares-the-dark-saga-tour-27764","or contact us by phone."
"The Four Seasons","25 Nov 2025","","0 €","All SaintsÂ´ Church in Rome","https://www.europaticket.com/en/event/the-four-seasons-1777-622","or contact us by phone."
"The Great Opera Arias Show","25 Nov 2025","6:30","0 €","Opera Arias Concert at Santa Chiara Palace","https://www.europaticket.com/en/event/the-great-opera-arias-show-255-12881","The Great Opera Arias Concert at Santa Chiara Palace, Rome. Programme, performers and schedule. Tickets in advance. Tickets for concert in Austria."
"St AnneÂ´s Church Concerts Vienna","10 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/st-anne-s-church-concerts-vienna--2621-484","or contact us by phone."
"Lunetic, 30 let","25 Nov 2025","19:00","0 €","Venue","https://www.europaticket.com/en/event/lunetic-30-let-25390","or contact us by phone."
"Grigory Sokolov Piano Recital","26 Jun 2026","","0 €","Berliner Philharmonie","https://www.europaticket.com/en/event/grigory-sokolov-piano-recital-27111","or contact us by phone for more information on prices, program, and cast."
"Amphibious Splash Tour","25 Nov 2025","15:15","0 €","Venue","https://www.europaticket.com/en/event/amphibious-splash-tour-403-24962","or contact us by phone."
"Parcels","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/parcels-25813","or contact us by phone."
"Top events","","","0 €","Most Famous Theaters in Europe: â Fast delivery","https://www.europaticket.com/en/top-events","Top events >> â¬ Opera, Ballet & Classical Concerts at Most Famous Theaters in Europe: â Fast delivery. â Secure Order. â Official Tickets. âº Book your E-tickets now! â¬"
"Rooftop Bar Opera Show:, The Great Beauty in Rome","25 Nov 2025","5:15pm","0 €","Palazzo Pamphilj","https://www.europaticket.com/en/event/rooftop-bar-opera-show-the-great-beauty-in-rome-3929-12740",", where you can find more information about performers, program, and ticket prices."
"Mercedes-Benz Arena","03 Nov 2025","20:00","0 €","Mercedes-Benz Arena","https://www.europaticket.com/en/events/pop-rock-concerts-10/mercedes-benz-arena-403","Check your schedule and come to see your favourite artists perform live on the Mercedes-Benz Arena stage in Berlin. Secure your tickets now."
"Turandot","25 Nov 2025","21:10","0 €","Venue","https://www.europaticket.com/en/event/turandot-119-23772","or contact us by phone."
"Teatro de la Maestranza","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/teatro-de-la-maestranza-841-477","or contact us by phone."
"Wembley Arena","14 Aug 2026","19:00","0 €","Wembley Arena","https://www.europaticket.com/en/events/pop-rock-concerts-10/wembley-arena-356","Buy Tickets for events at Wembley Arena."
"MotoGP","","","0 €","","https://www.europaticket.com/en/events/sport-4/motogp-386","Buy now MotoGP tickets. Book your tickets fast for the best possible view at the lowest price."
"MMA","","","0 €","","https://www.europaticket.com/en/events/sport-4/mma-329","Buy Tickets for BELLATOR MMA PARIS."
"AkvÃ¡rium Klub","","","0 €","AkvÃ¡rium Klub in Budapest","https://www.europaticket.com/en/events/pop-rock-concerts-10/akvÃ¡rium-klub-465","or contact us by phone for more information."
"Rudolfinum Tickets","13 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/rudolfinum-tickets-159","Check your schedule and book your tickets for an incredible concert at the Rudolfinum in Prague. Secure your seats now."
"The Tales of Hoffmann","25 Dec 2025","","€7","Staatsoper Unter den Linden","https://www.europaticket.com/en/event/the-tales-of-hoffmann-5464-26559","or contact us by phone for more information on prices, program, and cast."
"Moulin Rouge","08 Oct 2025","21:00","0 €","","https://www.europaticket.com/en/events/cabaret-tickets-5/moulin-rouge-248","Moulin Rouge tickets"
"The Four Seasons by Antonio Vivaldi","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/the-four-seasons-by-antonio-vivaldi-938-8087","Tickets for the Four Seasons Concert in Venice, Italy. The Orchestra I Musici Veneziani is formed in 1999 thanks to the selection of the most talented masters of birth and Venetian culture with a tribute to VivaldiÂ´s"
"St. Michael Church Budapest Concerts","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/st--michael-church-budapest-concerts-501","Check your schedule and book your tickets for the St. Michael Church Budapest Concerts."
"Danube Cruise with Hungarian Dinner and Live Music","25 Nov 2025","19:00","0 €","Venue","https://www.europaticket.com/en/event/danube-cruise-with-hungarian-dinner-and-live-music-1896-14078","Buy Official Tickets for Danube Cruise with Hungarian Dinner and Live Music in Budapest, Hungary. More info about programme and prices online and by phone."
"La BohÃ¨me","25 Nov 2025","22:00","0 €","Venue","https://www.europaticket.com/en/event/la-bohÃ¨me-4759-331","or contact us by phone.â¨"
"Museo del Baile Flamenco","25 Nov 2025","17:00","0 €","Venue","https://www.europaticket.com/en/event/museo-del-baile-flamenco-25145","or contact us by phone."
"Pop/Rock Concerts","08 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10","Check the schedule, select the date and book tickets for Concert. Tickets in advance. Details, programme and photos."
"Theatre Costanzi","19 Feb 2026","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/theatre-costanzi-180","Check your schedule and purchase tickets to see the greatest artists perform live on stage at the Theatre Costanzi. Buy tickets now."
"Auditorium Parco della Musica","09 Oct 2025","21:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/auditorium-parco-della-musica-244","Buy tickets for representations held at the Auditorium Parco della Musica and enjoy your visit in Rome even more. Secure your tickets now."
"Teatro Lirico Giorgio Gaber","","","0 €","Teatro Lirico Giorgio Gaber","https://www.europaticket.com/en/events/opera-and-ballet-1/teatro-lirico-giorgio-gaber-458","or contact us by phone."
"St.Stephenâs Basilica, Unique Grand Organ Concert and Tickets","25 Nov 2025","9:45","0 €","Venue","https://www.europaticket.com/en/event/st-stephens-basilica-unique-grand-organ-concert-and-tickets-25686","Buy Tickets for St.Stephen’s Basilica, Unique Grand Organ Concert and Tickets, Budapest. Visit our website or contact us by phone for more information about performers, program details, and ticket prices."
"Boat trip to Hellbrunn Tour 2","25 Nov 2025","","0 €","trip to Hellbrunn Tour 2 in Salzburg","https://www.europaticket.com/en/event/boat-trip-to-hellbrunn-tour-2-24960","or contact us by phone."
"Isar Philharmonic","08 Oct 2025","19:30","0 €","Isar Philharmonic","https://www.europaticket.com/en/events/classical-concerts-3/isar-philharmonic-413","Buy Tickets for events at Isar Philharmonic. Find details about performers, programme, and prices."
"Chopin and Italian Friends at Waldensian Church","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/chopin-and-italian-friends-at-waldensian-church-24693","or contact us by phone."
"Theatre Champs-Elysees","08 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/theatre-champs-elysees-271","Check your schedule and book your tickets for an incredible concert at the Theatre Champs-Elysees in Paris. Secure your seats now."
"Teatro Massimo","09 Oct 2025","18:30","0 €","Teatro Massimo in Palermo","https://www.europaticket.com/en/events/opera-and-ballet-1/teatro-massimo-479","or contact us by phone."
"Altice Arena","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/altice-arena-387","Check your schedule and come to see your favourite artists perform live on the Altice Arena stage. Secure your tickets now."
"Teatro alla Scala Tourist Packages","13 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/teatro-alla-scala-tourist-packages-79","Teatro alla Scala is a must when you visit Milan. Choose from a wide variety of events and book your tickets now."
"Konzerthausorchester Berlin","25 Nov 2025","21:00","0 €","Konzerthaus Berlin","https://www.europaticket.com/en/event/konzerthausorchester-berlin-17148","or contact us by phone for more information about performers, program details, and ticket prices."
"El Duende by Tablao CordobÃ©s Show","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/el-duende-by-tablao-cordobÃ©s-show-24718","or contact us by phone."
"Byzantine Venice Tour","25 Nov 2025","10:45","0 €","Venue","https://www.europaticket.com/en/event/byzantine-venice-tour-8773-7658","or contact us by phone."
"Ziggo Dome","17 Oct 2025","20:00","0 €","events at Ziggo Dome","https://www.europaticket.com/en/events/pop-rock-concerts-10/ziggo-dome-354","Buy Tickets at events at Ziggo Dome."
"State Opera Unter den Linden","08 Oct 2025","19:00","0 €","Staatsoper Unter den Linden","https://www.europaticket.com/en/events/opera-and-ballet-1/state-opera-unter-den-linden-235","Buy Tickets for events at the Staatsoper Unter den Linden. Find details about performers, programme, and prices."
"ZÃ¼rich Opera House","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/zÃ¼rich-opera-house-228","Buy tickets for representations held at the ZÃ¼rich Opera House and enjoy your visit in ZÃ¼rich even more. Secure your tickets now."
"Municipal House Tickets","03 Nov 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/municipal-house-tickets-173","Check your schedule and book your tickets for an incredible Classic Concert at the Municipal House, Prague. Secure your seats now."
"Crazy Horse Paris","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/cabaret-tickets-5/crazy-horse-paris-247","Crazy Horse Paris"
"Theatre","08 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/theatre-15","Check the schedule, select the date and book tickets for theatre. Tickets in advance. Details, programme and photos."
"The Show at the Lapin Agile","25 Nov 2025","01:00","0 €","Venue","https://www.europaticket.com/en/event/the-show-at-the-lapin-agile-11776","or contact us by phone."
"Concerts in Munich","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-munich-480","Check your schedule and come to see your favourite artists perform live in Munich. Secure your tickets now."
"Teatro Massimo","31 Oct 2025","20:30","0 €","Teatro Massimo in Palermo","https://www.europaticket.com/en/events/classical-concerts-3/teatro-massimo-7725-482","or contact us by phone."
"The Vindobona","","","0 €","","https://www.europaticket.com/en/events/cabaret-tickets-5/the-vindobona-277","Buy Tickets for events at The Vindobona."
"Vienna Residence Orchestra","08 Oct 2025","18:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/vienna-residence-orchestra-492","Check your schedule and book your tickets for the Vienna Residence Orchestra."
"Roots, Ballet","25 Nov 2025","22:05","0 €","Venue","https://www.europaticket.com/en/event/roots-ballet-26024","or contact us by phone."
"SchÃ¶nbrunn Palace Vienna Dinner and Concert","25 Nov 2025","6:30","0 €","Venue","https://www.europaticket.com/en/event/schÃ¶nbrunn-palace-vienna-dinner-and-concert-11289","Buy Tickets for SchÃ¶nbrunn Palace Vienna Dinner and Concert, Vienna, Austria. This package offers a unique combination of two delightful destinations: gourmet cuisine and world-famous music. More info about performers, programme, and prices online and by phone."
"Teatro Flamenco Triana Show","25 Nov 2025","19:30","0 €","Venue","https://www.europaticket.com/en/event/teatro-flamenco-triana-show-25206","or contact us by phone for more information about performers, program details, and ticket prices."
